Issue key,Issue id,Summary,Custom field (Epic Link),Description,Reporter,Assignee,Labels,Labels,Issue Type,Priority
MB-1903,1012329,Console sends `undefined` instead of `false` for unchecked toggle switches,MB-1838,"For workflows which take boolean values, the Console renders a toggle switch. When the toggle remains switched to ""off"", the resulting computed value is `undefined` instead of `false`. This translated to passing no value for the input when making the launch request.
For required inputs _with no default value_, that will result in a 400.

At the very least, if a boolean value is required and has no default, we should be translating an unchecked toggle to `false` to make sure the launch request succeeds.

Once default values are implemented for the form, this should become less of an issue.",rschott,rschott,flyte_public,,Bug,Major
MB-1949,1039714,Plugin Default Behavior Update,MB-1563,"{""json"":\\{""exec_id"":""***"",""node"":""***"",""ns"":""**-development"",""routine"":""worker-13"",""src"":""handler.go:216"",""tasktype"":""spark"",""wf"":""*****.SparkTasksWorkflow""}

,""level"":""warning"",""msg"":""No plugin found for Handler-type [spark], defaulting to [container]"",""ts"":""2019-11-11T21:09:36Z""}

Defaulting Spark to container doesn't make sense and ideally we should fail cleanly at Propeller level  and expose it to users instead of executing it as a container task and leading to an unknown/weird container failures. I think this also applies to other tasks like Hive/Sidecar. ",akhurana,habuelfutuh,flyte_public,,Task,Major
MB-1658,898582,Better document the local testing story,MB-1838,"The local testing story is weak... we can do a better job documenting tips for how to improve.

Our initial idea is that the pyflyte execute command can be run locally, but this has some problems like it uses an autodeleting temp dir and it might mess up real outputs in S3, etc.  

We'll play around with stuff and at least come up with some short term workarounds.",ytong,ytong,flyte_public,,Task,Major
MB-1631,882816,[DEMO NICE-TO-HAVE] Add indication that an execution is cached,MB-1838,Currently the UI does not show that a task execution is memoized. It is just absent from execution details if the execution was skipped because of cache.,achan,rschott,flyte_public,,Task,Critical
MB-1936,1035012,Support additional input types in the Launch UI,MB-1563,We don't currently support list/map or some of the less common types. This task is to at least implement list/map and explore if there is anything we can do about supporting the other types.,rschott,rschott,flyte_public,,Task,Major
MB-1260,620385,UI/UX tests,MB-1525,,habuelfutuh,rschott,flyte_public,,Task,Minor
MB-1113,519785,Breadcrumbs for the UI,MB-1525,"We need to determine what info should be available in the breadcrumbs.
 # Show project, domain, entity type, (sub-entity type),  version. In this case, sub-entity is something like an execution or launch plan belonging to a particular workflow.
 # Show a static project/domain combo just to set context, but don't make them links, then show the same as in #1
 # Leave out project/domain entirely",rschott,rschott,flyte_public,,Task,Major
MB-1145,524997,Parallel Node Executions (UI),MB-1563,Ensure we have a good visualization for parallel nodes in the UI.,matthewsmith,rschott,flyte_public,NewFlyte2.0Feature,Task,Minor
MB-1893,1005271,Platform-Specified Defaults for Configs,MB-1867,,matthewsmith,matthewsmith,flyte_public,,Task,Major
MB-1187,537578,Switch flyteidl output to be commonjs,MB-1563,"flyteidl is currently being output as an es6 module, which makes it incompatible with NodeJS unless it is run through webpack first. There's no real reason to do it that way, and protobufjs supports commonjs output, so we should switch to that.",rschott,rschott,flyte_public,,Task,Minor
